delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,ch_member_r5,ch_vp_r5,ch_member_r6,ch_vp_r6,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5,gc_member_s6,gc_vp_s6,gc_member_mm_s6,gc_vp_mm_s6,sc_member_s6,sc_vp_s6,coc_member_s6,coc_vp_s6,dab_member_s6,dab_vp_s6
0xba6ffaea3206d86e04dc1b2c029efcb99494549e,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x7306509a72803bc7027d694c71f641943dde27d5,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x71628a735b74ba74d93fbbb14131c846c13d8eed,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xd4f28a98f1f3f45acffc42dea779467516a9c486,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x56df4482739435c82d8129a98555ac93d1f3f525,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xc78366cc2aa23ef0409bf13803b5cc6145fba0f5,10.000002080440977,3.316040211215147e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0af5b1fdc9036e47864f7250dbe32a1db2eb25c2,10.000001080440976,3.316039879611195e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x763cf544cd18b852e6e75453ba69bc7b7964ea5e,10.000000980937326,3.316039846615391e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x73974fdf2f866deee314e84bc7e5200362d7bef5,10.000000900496351,3.3160398199408466e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xdd1511fc9a9381fbc5df09131eb105c10fb17f71,10.000000900496351,3.3160398199408466e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xaa400e27c38604dfabfe70fd0bff9d3250f0cd38,10.000000839709925,3.316039799783827e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x70c5b0736c5c2f1847985de473448bd7893d0e07,10.000000648093495,3.316039736243062e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x7dc65437fdc34a36ced8bc8a9ff03bc581cdcb12,10.000000277433877,3.316039613330867e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x18a164fa672fbcaa6083511d242d780f17136b02,10.00000014993924,3.316039571053142e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x765436752670a171c5a46e34f81df22513064276,10.00000014993924,3.316039571053142e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x11802ea465e45ee8901080e0ac44ee56dd7da7c2,10.000000080440977,3.316039548007243e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xeee9d4923ad30f3ee2a14eed45f39d5e27c67187,10.000000080440977,3.316039548007243e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xaa280dff22bfe280c23f7cd0236080ea2b6cbaf2,10.000000010440974,3.316039524794966e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x48a891331f2bcac889c6cb93a37f3a9d54caa343,10.000000010440974,3.316039524794966e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x551e54ed840c5c937868150249238b54660c3164,10.000000005343075,3.3160395231044826e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xd451d8c9cad6078512ed5a2ea6c42d1aa97ce394,10.000000000767091,3.316039521587068e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x1c1ec52a3ab8fe788deadc945b55df80d40a842e,10.00000000032175,3.316039521439391e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0fc60185a52c92d7e6d5de0fe099eba075bf3790,10.000000000255666,3.316039521417477e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x395eba70d282a5a197889c048b9d86009e7e9d4f,10.000000000177817,3.316039521391662e-05,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
