delegate,voting_power
0xdbaabc182e5fcebf216c353a3ebe32cdb7390094,14509.806882522107
0xd66164c4b658f3704b5caa67b33f07f3842ee063,13168.535026162115
0x2245be89fc8fab94ed982e859aa3212a4e4eb7e5,12804.42593296071
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,12480.02655382793
0x4e224e7e9e6084877856f147ce06a33ccb88eeff,12418.469448321765
0x2145304c34a9837349c3250d9311fc742336b2fe,12346.790460749697
0xe885626097850ec1c5759d4bc8718c8762c68077,12303.56818190855
0x86e6034c0eb6ec8d323c709c345b36219f3d3261,12268.882895226545
0x953eba01f96a87691a259c82699ad0be913c0dc7,12135.099345083512
0xa824dc3ae402dfd6a5de71c6fc30ff9e00411209,11951.21188479339
0xf70ef4fc0fecea687083f66ea835932bfde82282,11800.166707530469
0xe4036aca909cd049f9a7b7333961e1c1db7fb35c,11618.74866584682
0xbe93d14c5defb8f41af8fb092f58e3c71c712b85,11347.230107761654
0x78a90951bc30582fb8f5b1ec218a154634183744,11310.766044617723
0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,11081.38827486017
0xd2d117e6dbbfdd74d6b865ff859a4611bd29f3ed,10707.546434296217
0x025376e7e7f161a198fb5fc90a220a553836d11a,10563.254872370768
0x24dd242c3c4061b1fcaa5119af608b56afbaea95,10413.807414445684
0xfc3551f3b51f27ca60efb25f45ed95d4e80e7071,10141.038235225118
0x180efb3e67f9ac37c95e3bba2fca41b594cba562,10088.606312855682
0x4d246e41d7131ff60cd533c13bd2aafce7ab1265,10017.707396524193
0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,10001.799504666033
0x130ffd7485a0459fb34b9adbecf1a6dda4a497d5,10001.0
0x5347714a92f418b5ce26348b793ebeb5f32d5cd9,10000.0944216485
0x0b411e641a36be7a99f9a86c2fbb8eec3ee560f3,9947.02294461898
0x98b1522a9b09040fed62dfea83ac2286964e68db,9762.8412689
0xc5fbc6a76a4b462911787529f144561cbcde165a,9645.134566524974
0x91199826dbc27ae3033357d91b6fd3b7eb4d2149,9566.15991536447
0x40f404fe6c091b951576ecc7bcce5ecd56c985f7,9474.647196664198
0xde3ba1b41e6c612a3ca3213b84bdaf598dffdb9b,9321.551532339474
0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642,9089.263933823438
0x1b32fc9b7fb1d32cb48d93a3ff22b8850acf33b1,9017.47681716033
0x39cc43b3068a208ae87042f927fb53b85586c654,8698.132676094556
0x42add773b02585dbaf024db751d8944618ada20a,8682.378464436026
0x67a16655c1c46f8822726e989751817c49f29054,8578.44072290932
0xa0efd27acc781549d5b78e89e561aa0903932d56,8550.001480846768
0xec3124f5d4161c3db98cc0c31b3ff5a1e3472a25,8545.540982884851
0x298afe764ceade43ba80ac4390195e8d9451d6ef,8504.587974932845
0x6d817b6eb90d9471648acb2687ab198cd5972c8b,8492.343200000001
0x220a6cb04d48ca2c33735e94df78c17f8b0f7c9f,8398.529284546816
0x5b4df17ca5a3339d722028a585582693742e5b5a,8396.098775711323
0x5bde5b306c96c899bc870a026de91543ff2359ea,8358.598434603968
0x945d5bcda8dcd9cd8b221fd23cf4b6c0e7e50bd5,8339.818264741001
0x174001088ac628d8b75d9c9cb94b904220bd5b56,8184.941638530258
0x682c4184286415344a35a0ff6699bb8edabddc17,8175.332509564377
0x355382c41debac9ff3161eaa37472e8efeb0db6a,8112.00652877269
0x98ab20307fdaba1ce8b16d69d22461c6dbe85459,8112.00652877269
0x3f6364f662b0127a3430bb9a9fc16b602da9a188,8052.423959704906
0xd39ea6043d1fa03f5be2beb2cfe65faa4ef0e595,8000.407388931399
0xe8a7372c13fdeaa369cb2b6b7470a6d630686f3c,7869.2492972915215
0x9e2e00aab67c3a7b827eb3e431c4a6c2077510a6,7771.705024990026
0x10c7efe8206de20a56c9cb5fed78103a9a927a01,7750.219460517093
0x66fda6b697155fad61694713f4d6b0c02736e2a3,7749.498631369537
0x53df7c1a39248589013c3bda3d0d1cc9fab1651c,7602.998898366997
0x25b65e29930d163e93cb6a6a9d3a37cb58640f06,7585.230379757599
0xe5791410ed0e4f5e9a85204aec7b954efc869e8b,7527.393803155704
0xdc7aa225964267c7e0efb35f4931426209e90312,7501.402220192433
0x3035a1bbd824041b07f8ab2297a71a81e00127c5,7477.66485246904
0x2afccecb86504de8023def0cac5a7fbc240830bb,7477.66485246904
0xe626e8ca82603e3b44751f8562b5ed126d345140,7477.66485246904
0x843f9b7cd5928474b93537cfc0a96690c86ce1d1,7401.23255156056
0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,7381.94273672609
0xc5c8eff68183581f8a108ce6414a21a6675a4b79,7333.4794030945
0xfa8343c666c7b4e617e502c7070a31c52d5a46ec,7331.952318013101
