delegate,voting_power
0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,99341.32622494086
0xb55a948763e0d386b6defcd8070a522216ae42b1,97885.02470379116
0x7ad41e9d6e1fa47f1f6bcc63bd0327009590a47b,94393.87356382988
0x1372eda77df5a048db8af4db3d8680ff56388824,90332.95561868211
0x70d95a4e6f514149af97de9a107d12bf1cf57169,84565.51934090632
0x2b70952579298fcaed0f67a6e5107576796330d8,76820.15344516619
0x1d1a13b16667c284b87de62caeeff0ce89e342b2,69246.63257363292
0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,59501.04281187616
0xe8b22a88deb45c7848d394fd039b8d811511a9f3,57845.05604329815
0xf417ace7b13c0ef4fcb5548390a450a4b75d3eb3,57776.536195597866
0x4ac799e9b0e252bc45d499857c84809a5a444ae0,53370.95525604997
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,46872.37994611458
0x8c580556fdb1f57853e49f409ae9b89f7658e7a2,45197.72239842045
0xf3f527b70af6012f328d3ede7fcd3f5f3ca6cba2,42425.34302817238
0xdf629daa1e3a099d4c87d7ba855e9561d2300032,40314.80571691055
0xfd4f24676ed4588928213f37b126b53c07186f45,39058.141526244806
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,32431.79950466604
0xe7589a9435e27bf1443ebb279083f044c054e9fe,28609.571485971966
0xc540eb6c7b3e44ef8a45db3ad8618404baed88f6,28148.78851952629
0x6fc69da059944b4895d65f385b9a26b1285cab88,26802.00695124633
0x7e188fce356695d37f67153aec2112d197ef405c,25524.813493559257
0x2fd8bd701461684957a9d6a9d15f9d5cbf17a58d,25098.36309186801
0x2345f4e0cdf00d427d773413dd4617d0156c29a9,24923.454677733425
0xa018feb6840781436e5440de92f91659bce036b6,22489.0887670909
0x33d66941465ac776c38096cb1bc496c673ae7390,22425.1572068482
0x265c328bf0cad7f6fcddd375a4c02754963e3a2e,20733.56673771317
0xaf0939af286a35dbfab7ded7c777a5f6e8be26a8,17925.13894823231
0xbb23d0fa604cc273c029ab0966accfaa4254deaf,16683.022892123656
0x84f918ba377cbd0385b4ef28f6b2b6d7e9b54a4b,16532.54434401839
0x2ebeb7554d97101ce33f2e7b511b236661848fac,15000.0
0xf18aeb8984df9c39b427bf9a5b44a5e85b1f8d0c,14946.422803083447
0xd70333d48d72082b211d05340c8e4f9a630b315e,12688.2770527164
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,12480.02655382793
0x2145304c34a9837349c3250d9311fc742336b2fe,12346.790460749697
0xe885626097850ec1c5759d4bc8718c8762c68077,12303.56818190855
0x953eba01f96a87691a259c82699ad0be913c0dc7,12199.21146116438
0xe31b7439693889cae4490eb6e7ca88fb23b1d11b,12132.852818883675
0xe4036aca909cd049f9a7b7333961e1c1db7fb35c,11343.80414843617
0xd2d117e6dbbfdd74d6b865ff859a4611bd29f3ed,10707.546434296217
0x025376e7e7f161a198fb5fc90a220a553836d11a,10563.254872370768
0x24dd242c3c4061b1fcaa5119af608b56afbaea95,10538.81747395675
0x4e224e7e9e6084877856f147ce06a33ccb88eeff,10368.236810402204
0x4929f4d38f2955649b5aa34343da04cf790b9d92,10201.321730296171
0x4d246e41d7131ff60cd533c13bd2aafce7ab1265,10171.464804762474
0x180efb3e67f9ac37c95e3bba2fca41b594cba562,10088.606312855682
0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,10001.799504666033
0x5347714a92f418b5ce26348b793ebeb5f32d5cd9,10000.0944216485
0x0b411e641a36be7a99f9a86c2fbb8eec3ee560f3,9947.02294461898
0xb7d49adb031d6dbdf3e8e28f21c6dd3b6f231cd5,9666.459445412522
0xc5fbc6a76a4b462911787529f144561cbcde165a,9645.134566524974
0x91199826dbc27ae3033357d91b6fd3b7eb4d2149,9566.15991536447
0xde3ba1b41e6c612a3ca3213b84bdaf598dffdb9b,9490.392462893717
0x682c4184286415344a35a0ff6699bb8edabddc17,8869.738473839727
0xa0efd27acc781549d5b78e89e561aa0903932d56,8671.459995641924
0x67a16655c1c46f8822726e989751817c49f29054,8578.44072290932
0x174001088ac628d8b75d9c9cb94b904220bd5b56,8184.941638530258
0xf33364a83b6002d5070ec5fa31f5d9eb93572732,8014.676220004452
0xec3124f5d4161c3db98cc0c31b3ff5a1e3472a25,7895.540982884851
0x66fda6b697155fad61694713f4d6b0c02736e2a3,7749.498631369537
0x53df7c1a39248589013c3bda3d0d1cc9fab1651c,7602.998898366997
0x25b65e29930d163e93cb6a6a9d3a37cb58640f06,7585.230379757599
0xdc7aa225964267c7e0efb35f4931426209e90312,7501.402220192433
0x298afe764ceade43ba80ac4390195e8d9451d6ef,7499.10379401764
0x54e250ea9b59f4d627b7c35570e7acd688916ba6,7477.66485246904
